96,96,92,116
106,91,89,114
102,85,90,123
124,66,90,120
97,67,65,171
96,59,77,168
107,64,67,162
95,59,79,167
105,57,92,146
107,44,84,165
101,47,59,193
81,42,62,215
71,52,55,222
88,37,45,230
78,46,48,228
82,42,50,226
73,33,50,244
73,27,57,243
64,21,66,249
63,30,52,255
66,43,71,220
70,33,67,230
69,37,58,236
70,40,61,229
82,40,70,208
73,25,68,234
71,28,74,227
67,22,55,256
63,34,64,239
67,33,79,221
80,30,87,203
68,24,82,226
61,25,78,236
67,22,74,237
61,31,70,238
64,31,45,260
75,29,48,248
76,24,49,251
66,32,66,236
57,14,51,278
56,19,87,238
69,20,71,240
58,12,74,256
55,19,70,256
64,21,66,249
50,21,92,237
63,22,65,250
62,17,62,259
57,15,68,260
61,31,70,238
86,25,64,225
65,9,89,237
59,10,82,249
56,24,78,242
52,12,66,270
59,9,80,252
52,13,88,247
47,16,112,225
71,16,97,216
66,22,62,250
59,28,68,245
55,16,62,267
62,12,103,223
55,18,93,234
50,8,69,273
53,16,98,233
58,23,105,214
57,19,104,220
72,20,115,193
67,34,103,196
60,38,87,215
68,37,43,252
74,31,55,240
69,32,50,249
47,26,88,239
65,27,98,210
60,51,90,199
79,42,52,227
64,34,77,225
68,20,77,235
63,29,65,243
62,19,78,241
68,27,67,238
58,14,89,239
74,23,85,218
59,17,131,193
73,21,105,201
51,15,90,244
65,20,108,207
68,15,116,201
56,15,116,213
61,18,91,230
59,25,86,230
62,16,99,223
66,42,89,203
62,23,65,250
66,16,88,230
72,28,73,227
67,20,112,201
77,20,67,236
70,27,83,220
51,20,123,206
71,25,110,194
57,18,93,232
53,14,92,241
64,14,104,218
63,15,90,232
70,10,95,225
73,20,88,219
74,17,60,249
70,13,83,234
59,17,78,246
71,25,82,222
74,32,79,215
72,15,78,235
52,5,105,238
53,13,126,208
64,17,86,233
67,15,86,232
60,15,115,210
65,17,106,212
59,15,135,191
63,21,109,207
62,12,144,182
64,10,115,211
56,7,152,185
65,22,145,168
77,17,150,156
77,24,113,186
69,7,96,228
74,19,127,180
59,12,153,176
60,22,119,199
74,25,142,159
88,21,121,170
67,15,100,218
70,21,103,206
71,27,102,200
77,22,101,200
71,21,114,194
75,17,133,175
63,18,102,217
65,17,140,178
55,15,89,241
72,36,106,186
80,28,113,179
57,17,155,171
65,19,96,220
62,19,95,224
68,13,91,228
64,21,106,209
60,21,104,215
70,27,119,184
68,23,89,220
74,18,95,213
78,22,64,236
56,22,114,208
63,17,73,247
78,28,99,195
46,4,107,243
62,24,110,204
81,37,108,174
63,16,95,226
86,17,99,198
73,22,83,222
65,29,57,249
69,25,73,233
67,20,85,228
80,11,94,215
68,19,113,200
80,34,75,211
72,15,74,239
61,17,104,218
75,24,110,191
