8,5,4,3
8,6,4,2
8,6,3,3
8,6,3,3
7,7,3,3
7,7,3,3
7,7,3,3
7,7,3,3
7,7,3,3
7,7,3,3
7,7,3,3
7,7,3,3
7,7,3,3
7,7,3,3
7,7,3,3
7,7,3,3
7,7,3,3
7,7,3,3
7,7,3,3
7,7,3,3
8,6,3,3
9,5,3,3
7,7,3,3
7,7,3,3
8,6,3,3
7,7,3,3
7,7,3,3
7,7,3,3
7,7,3,3
8,6,3,3
8,6,3,3
7,7,3,3
7,7,3,3
8,6,3,3
8,6,3,3
7,7,3,3
7,7,3,3
7,7,3,3
7,7,3,3
7,7,3,3
7,7,3,3
7,7,3,3
7,7,3,3
7,7,3,3
7,7,3,3
7,7,3,3
7,7,3,3
8,6,3,3
7,7,3,3
8,6,3,3
8,6,3,3
7,7,3,3
7,7,3,3
7,7,3,3
7,7,3,3
7,7,3,3
8,6,3,3
7,7,3,3
8,6,3,3
8,6,3,3
7,7,3,3
7,7,3,3
7,7,3,3
7,7,3,3
7,7,3,3
7,7,3,3
7,7,3,3
7,7,3,3
7,7,3,3
7,7,3,3
7,7,3,3
7,7,3,3
7,7,3,3
7,7,3,3
8,6,3,3
8,6,3,3
8,6,3,3
7,7,3,3
7,7,3,3
7,7,3,3
8,6,3,3
9,5,3,3
9,5,3,3
7,7,3,3
8,6,3,3
7,7,3,3
7,7,3,3
7,6,4,3
7,6,4,3
6,7,4,3
6,7,4,3
6,7,4,3
6,7,4,3
6,7,4,3
6,7,4,3
6,7,4,3
7,6,4,3
6,7,4,3
6,7,4,3
6,7,4,3
7,6,4,3
6,7,4,3
6,7,4,3
6,7,4,3
7,6,4,3
7,6,4,3
5,8,4,3
5,8,4,3
5,8,4,3
5,8,4,3
5,8,4,3
5,8,4,3
5,8,4,3
6,7,4,3
5,8,4,3
5,8,4,3
5,8,4,3
6,7,4,3
6,7,4,3
6,7,4,3
5,8,4,3
5,8,4,3
5,8,4,3
5,8,4,3
6,7,4,3
6,7,4,3
5,8,4,3
6,7,4,3
6,7,4,3
6,7,4,3
5,8,4,3
5,8,4,3
6,7,4,3
6,7,4,3
6,7,4,3
6,7,4,3
5,8,4,3
6,7,4,3
5,8,4,3
7,6,4,3
5,8,4,3
5,8,4,3
5,8,4,3
5,8,4,3
5,8,4,3
5,8,4,3
5,8,4,3
6,7,4,3
5,8,4,3
5,8,4,3
5,8,4,3
5,8,4,3
5,8,4,3
5,8,4,3
5,8,4,3
