39,36,21,39,46,52,47,45,45,44,41,63,48,42,44,55,42,55,44,41
24,71,33,52,27,44,35,45,48,38,37,84,26,32,52,48,27,52,72,56
9,72,36,48,12,40,42,60,37,43,38,92,61,56,60,37,53,47,68,49
25,64,33,43,27,48,54,60,47,53,35,96,3,41,60,42,44,62,48,41
12,56,15,50,22,38,68,60,49,54,55,68,27,50,60,44,34,39,64,34
27,60,33,37,30,50,0,60,55,56,38,100,59,48,60,35,38,52,48,32
6,60,18,32,45,33,92,60,35,68,53,80,12,16,60,35,45,47,56,47
25,44,30,47,34,51,64,60,36,52,42,60,10,35,60,41,26,43,52,38
27,40,15,22,44,36,56,60,42,44,43,76,29,25,60,44,47,41,52,38
31,56,18,34,20,35,52,60,20,56,35,72,36,40,60,52,30,32,76,27
33,48,15,43,42,35,92,60,29,52,45,56,7,43,60,28,38,34,48,38
39,68,15,37,38,36,64,60,58,64,37,44,14,43,60,42,27,28,56,36
50,52,36,36,31,32,28,60,25,48,40,56,27,36,60,40,30,51,48,45
55,56,3,40,34,31,44,60,30,60,20,100,30,30,60,43,39,41,64,35
58,68,24,30,28,21,52,60,37,64,43,60,42,23,60,44,31,37,48,38
46,52,21,36,49,37,36,60,23,64,37,64,25,44,60,45,30,37,56,27
37,56,27,45,39,29,56,60,37,52,33,48,42,37,60,43,44,30,44,35
39,56,24,49,38,34,36,60,29,60,38,48,26,43,60,45,31,46,52,30
42,64,27,38,44,14,56,60,36,56,46,68,19,48,60,41,29,39,36,39
33,60,30,30,39,47,52,60,28,52,40,60,31,39,60,46,31,25,48,41
33,56,15,45,33,33,68,60,32,52,37,52,26,52,60,42,46,36,44,43
34,64,30,42,51,28,32,60,30,56,37,64,29,27,60,30,46,36,52,35
39,72,12,32,24,29,64,60,48,64,43,44,42,35,60,25,31,51,40,39
26,48,18,40,49,35,48,60,27,44,50,64,37,35,60,44,35,21,64,53
28,44,22,29,40,27,64,60,35,36,38,72,41,26,60,35,31,34,56,43
39,56,18,30,30,31,64,60,42,56,42,64,45,38,60,34,42,21,48,31
47,40,36,36,43,36,48,60,49,56,34,52,44,30,60,40,27,48,56,33
43,60,33,18,35,55,48,60,39,68,55,68,33,44,60,47,34,26,40,20
42,48,12,35,29,38,52,60,31,68,42,56,31,49,60,29,38,28,60,35
31,64,12,39,27,24,56,60,42,56,31,60,31,52,60,27,33,40,40,34
53,68,12,38,45,26,60,60,46,48,37,48,28,32,60,35,35,27,56,30
