59,41,55,45
73,43,59,25
71,40,56,33
84,21,55,40
55,42,48,55
62,38,35,65
57,30,46,67
64,31,24,81
52,34,46,68
62,48,32,58
61,37,34,68
67,30,33,70
68,25,38,69
66,34,32,68
65,28,37,70
70,29,42,59
71,52,29,48
69,29,36,66
67,33,34,66
64,35,23,78
58,35,46,61
63,41,31,65
71,32,26,71
59,37,28,76
58,42,34,66
46,41,40,73
54,30,31,85
48,31,35,86
54,32,39,75
57,49,32,62
56,39,38,67
52,32,28,88
55,30,23,92
52,31,31,86
52,30,39,79
50,35,36,79
55,37,31,77
56,39,38,67
51,40,43,66
56,42,34,68
55,27,21,97
57,26,32,85
54,27,36,83
58,26,26,90
52,29,35,84
56,28,32,84
51,32,33,84
59,28,34,79
54,42,24,80
56,19,42,83
49,29,29,93
53,23,32,92
56,38,33,73
60,32,31,77
52,34,31,83
55,28,44,73
61,36,26,77
58,34,37,71
57,25,36,82
60,31,26,83
54,42,32,72
59,22,40,79
59,39,24,78
72,29,37,62
68,37,39,56
67,36,35,62
62,34,44,60
55,35,34,76
56,43,33,68
64,41,30,65
68,27,29,76
70,23,32,75
67,30,39,64
75,32,22,71
68,38,38,56
72,30,20,78
75,28,22,75
77,26,30,67
70,20,33,77
70,28,32,70
74,29,30,67
67,27,29,77
69,31,23,77
76,23,21,80
89,27,30,54
71,27,26,76
76,26,32,66
71,39,26,64
70,28,25,77
77,28,30,65
76,16,27,81
81,31,29,59
70,38,31,61
70,20,32,78
72,26,33,69
71,24,18,87
70,27,30,73
74,36,32,58
67,36,31,66
69,32,35,64
72,29,21,78
74,20,25,81
82,16,20,82
75,32,22,71
73,26,28,73
63,34,20,83
74,24,28,74
62,21,29,88
66,23,25,86
70,21,24,85
71,27,24,78
77,25,27,71
67,22,18,93
67,31,27,75
66,27,31,76
67,30,27,76
62,30,43,65
70,25,23,82
67,27,18,88
69,31,20,80
64,23,16,97
71,19,12,98
60,8,9,123
68,25,21,86
73,10,17,100
71,14,9,106
66,14,13,107
62,8,7,123
62,16,21,101
62,13,10,115
66,19,21,94
75,18,26,81
76,23,18,83
65,13,23,99
68,20,15,97
79,22,26,73
73,18,35,74
63,12,15,110
67,19,27,87
64,17,13,106
62,15,22,101
81,22,27,70
74,19,23,84
69,18,18,95
73,21,26,80
71,18,22,89
75,31,29,65
70,29,25,76
76,31,20,73
76,32,37,55
81,23,31,65
80,26,21,73
72,26,33,69
73,29,12,86
66,14,15,105
74,27,30,69
73,21,26,80
66,27,15,92
63,21,14,102
69,20,22,89
67,21,22,90
72,26,18,84
76,33,21,70
76,19,15,90
75,29,18,78
72,18,9,101
66,17,14,103
68,14,17,101
62,9,14,115
75,22,19,84
81,28,39,52
78,29,33,60
66,16,13,105
69,25,22,84
66,22,19,93
71,15,21,93
75,17,20,88
80,22,24,74
75,28,19,78
68,24,25,83
72,15,23,90
65,16,8,111
69,19,17,95
71,20,24,85
60,9,3,128
71,10,18,101
69,21,19,91
75,18,24,83
73,18,14,95
73,19,15,93
82,27,24,67
90,20,31,59
80,18,24,78
69,19,28,84
60,12,7,121
76,43,30,51
74,43,23,60
68,19,22,91
80,18,26,76
77,15,21,87
72,26,20,82
65,13,14,108
73,27,20,80
73,31,23,73
75,22,22,81
69,12,21,98
75,24,27,74
72,34,18,76
69,28,19,84
76,16,20,88
80,16,29,75
71,25,21,83
72,22,30,76
69,22,20,89
79,30,29,62
79,25,33,63
72,22,21,85
85,20,33,62
80,19,23,78
77,30,16,77
76,24,25,75
83,30,23,64
70,18,22,90
74,13,19,94
63,13,17,107
71,28,18,83
69,17,18,96
64,20,15,101
76,17,22,85
69,20,24,87
76,23,25,76
76,14,36,74
74,20,22,84
82,24,20,74
69,15,5,111
71,27,18,84
79,26,16,79
73,15,32,80
64,7,13,116
76,13,17,94
87,16,13,84
78,20,14,88
86,18,21,75
91,25,25,59
90,34,23,53
85,26,23,66
84,21,23,72
99,25,22,54
95,29,23,53
81,24,13,82
79,25,27,69
75,31,22,72
73,23,26,78
80,21,18,81
